R,depth,width,seed,K,s2,rel
0.8,2,4,20,0.5,0.8977818842738932,0.9943077884095898
0.8,2,4,20,0.0,1.0,1.0
0.8,2,4,20,-0.5,1.1113232970947502,1.2402022140406312
0.8,2,4,20,-1.0,1.2323941181210039,1.5816326588662213
0.8,2,4,20,-2.0,1.5065359277077244,2.6435746025414057
0.8,2,4,20,-4.0,2.2044230860437226,7.251982812123464
0.8,2,4,20,-6.0,3.1496856357366823,19.035721140227412
0.8,2,4,21,0.5,0.8977818842738932,0.9869520160527523
0.8,2,4,21,0.0,1.0,1.0
0.8,2,4,21,-0.5,1.1113232970947502,1.0311288687192288
0.8,2,4,21,-1.0,1.2323941181210039,1.0632185230955888
0.8,2,4,21,-2.0,1.5065359277077244,1.1413245312165623
0.8,2,4,21,-4.0,2.2044230860437226,1.3280680323264316
0.8,2,4,21,-6.0,3.1496856357366823,1.5708947614845568
0.8,2,4,22,0.5,0.8977818842738932,0.9838887325169585
0.8,2,4,22,0.0,1.0,1.0
0.8,2,4,22,-0.5,1.1113232970947502,1.0430097380962355
0.8,2,4,22,-1.0,1.2323941181210039,1.0927692498072086
0.8,2,4,22,-2.0,1.5065359277077244,1.2237386994137844
0.8,2,4,22,-4.0,2.2044230860437226,1.6461307348934495
0.8,2,4,22,-6.0,3.1496856357366823,2.232902575198407
0.8,2,4,23,0.5,0.8977818842738932,0.97494230970682
0.8,2,4,23,0.0,1.0,1.0
0.8,2,4,23,-0.5,1.1113232970947502,1.0847462593358128
0.8,2,4,23,-1.0,1.2323941181210039,1.2113410504154278
0.8,2,4,23,-2.0,1.5065359277077244,1.790246293794968
0.8,2,4,23,-4.0,2.2044230860437226,3.9559135459651253
0.8,2,4,23,-6.0,3.1496856357366823,8.703289009302452
0.8,2,4,24,0.5,0.8977818842738932,0.9725188253763274
0.8,2,4,24,0.0,1.0,1.0
0.8,2,4,24,-0.5,1.1113232970947502,1.046513500667637
0.8,2,4,24,-1.0,1.2323941181210039,1.1069112061870134
0.8,2,4,24,-2.0,1.5065359277077244,1.231126767903986
0.8,2,4,24,-4.0,2.2044230860437226,1.5449039293858076
0.8,2,4,24,-6.0,3.1496856357366823,1.9458051270851193
0.8,2,4,25,0.5,0.8977818842738932,0.9899519151867621
0.8,2,4,25,0.0,1.0,1.0
0.8,2,4,25,-0.5,1.1113232970947502,1.0264764970385345
0.8,2,4,25,-1.0,1.2323941181210039,1.0506137640436655
0.8,2,4,25,-2.0,1.5065359277077244,1.1281127256145456
0.8,2,4,25,-4.0,2.2044230860437226,1.2885048221572877
0.8,2,4,25,-6.0,3.1496856357366823,1.505236048493985
0.8,2,4,26,0.5,0.8977818842738932,0.9880477884806467
0.8,2,4,26,0.0,1.0,1.0
0.8,2,4,26,-0.5,1.1113232970947502,1.163912231273412
0.8,2,4,26,-1.0,1.2323941181210039,1.3944688651236536
0.8,2,4,26,-2.0,1.5065359277077244,2.038713431007805
0.8,2,4,26,-4.0,2.2044230860437226,4.480469649385992
0.8,2,4,26,-6.0,3.1496856357366823,9.738613324329037
0.8,2,4,27,0.5,0.8977818842738932,0.9855576754316163
0.8,2,4,27,0.0,1.0,1.0
0.8,2,4,27,-0.5,1.1113232970947502,1.0690609654974386
0.8,2,4,27,-1.0,1.2323941181210039,1.163593570710799
0.8,2,4,27,-2.0,1.5065359277077244,1.5470009207401232
0.8,2,4,27,-4.0,2.2044230860437226,2.9026498041365314
0.8,2,4,27,-6.0,3.1496856357366823,5.449649456892947
0.8,2,4,28,0.5,0.8977818842738932,0.9827723191098177
0.8,2,4,28,0.0,1.0,1.0
0.8,2,4,28,-0.5,1.1113232970947502,1.0501676060920437
0.8,2,4,28,-1.0,1.2323941181210039,1.1276654914703703
